Title,IMDB Rating,Netflix Rating
Breaking Bad,9.4,9
The Walking Dead,8.5,9
Dexter,8.7,8.4
Sherlock,9.2,9
Friends,8.9,7.4
How I Met Your Mother,8.3,8.4
Lost,8.4,7.6
Prison Break,8.4,8.4
House of Cards,9,9
Supernatural,8.4,8.6
Arrested Development,9,7.8
Scrubs,8.4,7.8
Firefly,9.1,8.6
Fringe,8.4,8.6
Sons of Anarchy,8.5,8.6
Hannibal,8.5,7.2
Fargo,9,7.6
Futurama,8.5,7.4
Doctor Who,8.7,8.6
The X-Files,8.7,8
Mad Men,8.6,8.2
It's Always Sunny in Philadelphia,8.7,8.2
Battlestar Galactica,8.7,8
Parks and Recreation,8.6,8.2
Twin Peaks,8.9,7.8
Shameless,8.6,7.4
The IT Crowd,8.5,8.2
Freaks and Geeks,8.9,8.8
Archer,8.8,8.4
Luther,8.6,8.4
Star Trek: The Next Generation,8.6,7.6
Attack on Titan,8.8,9.2
Louie,8.6,8.2
Fawlty Towers,8.8,7.8
The Inbetweeners,8.4,8
Black Mirror,8.7,9.2
Pride and Prejudice,9,7.4
Star Trek,8.3,7.8
Battlestar Galactica,8.6,8
Adventure Time,8.6,8.8
MythBusters,8.3,8
Peaky Blinders,8.7,7.6
The West Wing,8.7,8.4
Friday Night Lights,8.6,8.2
Broadchurch,8.3,8.4
Blue Mountain State,8.3,8
Fullmetal Alchemist,8.6,8.6
Coupling,8.6,7.4
Peep Show,8.6,7.6
Doctor Who,8.4,8.6
Justice League,8.6,8.2
Red Dwarf,8.4,7.4
Samurai Jack,8.4,8.2
Trailer Park Boys,8.4,7.8
Agatha Christie's Poirot,8.5,8.4
Life,9.1,8.4
The Venture Bros.,8.6,8.2
Young Justice,8.6,8.6
Lonesome Dove,8.7,8.2
Jane Eyre,8.4,7.6
Generation War,8.4,7.8
Trigun,8.4,8
Jesus of Nazareth,8.5,8.2
The Avengers: Earth's Mightiest Heroes,8.3,8.2
Happy Valley,8.3,6.2
Monster,8.6,4.2
Foyle's War,8.3,7.4
Alfred Hitchcock Presents,8.6,7.8
Terriers,8.4,8
Long Way Round,8.8,8.8
House of Cards,8.6,9
A Bit of Fry and Laurie,8.4,7.4
Bleak House,8.4,7.2
The League of Gentlemen,8.4,6.4
Wentworth,8.4,6
The Dick Van Dyke Show,8.4,7.6